H88_US_ABA关键词表_修正版,点击量,PPC价格,点击前三ASIN,点击前三品牌,展示量,标题密度,月变化量,关键词翻译,国家,点击集中度,月搜索量,关键词,历史排名,现排名,转化集中度,型号,前10ASIN,建议竞价范围,月变化率,SPR
mini body camera with audio|US|H88,824,$0.62,B0F2N1VYJB、B0DH3FV295、B0FJ2MYT5V,AviaryEye、Meoilkolnm、KSADBOSSBO,20918.0,3.0,"上月: -117,130
4月前: -104,103
12月前: +758,107",,US,"TOP1: 21.80%
TOP2: 7.40%
TOP3: 5.00%
合计: 34.20%",2062,mini body camera with audio,"上月: 566,302
4月前: 579,329
12月前: 1,441,539",683432,"TOP1: 18.33%
TOP2: 10.00%
TOP3: 1.67%
合计: 30.00%",H88,"B0F2N1VYJB,B0CZNLJS6C,B0DH3FV295,B0F66YN221,B0FLKDGC76,B0FRSHTZY8,B0DZHCQBDW,B0FVY49FW5,B0DP9VPHP2,B0DYV8PFG3",$0.47 - $0.78,"上月: -20.68%
4月前: -17.97%
12月前: +52.59%",1
baseball camera necklace|US|H88,1020,$1.07,B0DH3FV295、B0FC2K1DLB、B0F66YN221,Meoilkolnm、MGSTN、Catchallway,28715.0,,"上月: +1,322,452
4月前: -
12月前: -",,US,"TOP1: 45.10%
TOP2: 13.06%
TOP3: 9.18%
合计: 67.34%",2054,baseball camera necklace,"上月: 2,019,382
4月前: -
12月前: -",696930,"TOP1: 40.00%
TOP2: 0.00%
TOP3: 15.00%
合计: 55.00%",H88,"B0DH3FV295,B0F66YN221,B0DDSN7WC4,B0FRFRM9D3,B0DNQRG1JP,B0DRVHVH55,B0DBVG2W2P,B0FRFSJW61,B0DZHCQBDW,B0FC2K1DLB",$0.80 - $1.34,"上月: +65.49%
4月前: -
12月前: -",1
mini body cam|US|H88,855,$0.47,B0F2N1VYJB、B0DH3FV295、B0F66YN221,AviaryEye、Meoilkolnm、Catchallway,25802.0,26.0,"上月: -107,709
4月前: -86,061
12月前: +452,960",迷你机身,US,"TOP1: 13.68%
TOP2: 10.31%
TOP3: 9.87%
合计: 33.86%",1968,mini body cam,"上月: 659,951
4月前: 681,599
12月前: 1,220,620",767660,"TOP1: 10.00%
TOP2: 15.00%
TOP3: 12.50%
合计: 37.50%",H88,"B0F2N1VYJB,B0CZNLJS6C,B0DH3FV295,B0F66YN221,B0FJ29T1W8,B0DPMBGPJF,B0BTZ5LLFC,B0CF489LLW,B0DDSN7WC4,B0G1H863YD",$0.35 - $0.59,"上月: -16.32%
4月前: -12.63%
12月前: +37.11%",1
wearable camera with audio|US|H88,828,$0.92,B0F2N1VYJB、B0DH3FV295、B0F66YN221,AviaryEye、Meoilkolnm、Catchallway,28265.0,,"上月: -13,445
4月前: +839,429
12月前: -64,177",带音频的可穿戴相机,US,"TOP1: 14.95%
TOP2: 12.09%
TOP3: 7.91%
合计: 34.95%",1904,wearable camera with audio,"上月: 739,439
4月前: 1,592,313
12月前: 688,707",752884,"TOP1: 14.71%
TOP2: 5.88%
TOP3: 8.82%
合计: 29.41%",H88,"B0F2N1VYJB,B0F66YN221,B0G1H863YD,B0DBVG2W2P,B0DH3FV295,B0DDSH1W1N,B0CZNLJS6C,B0FPD16S8J,B0DP9VPHP2,B08KY7KLPB",$0.69 - $1.15,"上月: -1.82%
4月前: +52.72%
12月前: -9.32%",1
personal body camera|US|H88,916,$0.96,B0F2N1VYJB、B0F66YN221、B0DH3FV295,AviaryEye、BOBLOV、AeroTek,18963.0,,"上月: -282,143
4月前: -148,547
12月前: +277,622",个人随身相机,US,"TOP1: 27.56%
TOP2: 5.47%
TOP3: 4.56%
合计: 37.59%",1881,personal body camera,"上月: 497,967
4月前: 631,563
12月前: 1,057,732",780110,"TOP1: 24.14%
TOP2: 0.00%
TOP3: 0.00%
合计: 24.14%",H88,"B0F2N1VYJB,B0FLKDGC76,B0CZNLJS6C,B0FRG42R7B,B0FQWS941G,B0G3VCN11Z,B0DH3FV295,B0FR4TKGXB,B0DP9VPHP2,B0F66YN221",$0.72 - $1.20,"上月: -56.66%
4月前: -23.52%
12月前: +26.25%",2
looki l1 wearable camera|US|H88,692,$0.68,B0DH3FV295、B0F2N1VYJB、B0DDSN7WC4,Meoilkolnm、AviaryEye、Sixmou,23756.0,,"上月: -419,135
4月前: -
12月前: -",,US,"TOP1: 18.41%
TOP2: 11.36%
TOP3: 9.55%
合计: 39.32%",1800,looki l1 wearable camera,"上月: 359,009
4月前: -
12月前: -",778144,"TOP1: 33.33%
TOP2: 8.33%
TOP3: 8.33%
合计: 49.99%",H88,"B0DH3FV295,B0DDSN7WC4,B0F2N1VYJB,B0F53R7XTT,B08KY7KLPB,B0DJT3YJQG,B0F66YN221,B0DRVHVH55,B0F947JK8K,B0DP41B344",$0.51 - $0.85,"上月: -116.75%
4月前: -
12月前: -",1
personal body camera with audio|US|H88,810,,B0F2N1VYJB、B0DH3FV295、B0DP9VPHP2,AviaryEye、Losfom、Meoilkolnm,20521.0,,"上月: -86,916
4月前: -
12月前: -",带音频的个人随身相机,US,"TOP1: 17.78%
TOP2: 10.39%
TOP3: 6.93%
合计: 35.10%",1774,personal body camera with audio,"上月: 704,360
4月前: -
12月前: -",791276,"TOP1: 20.51%
TOP2: 7.69%
TOP3: 0.00%
合计: 28.20%",H88,"B0F2N1VYJB,B0DH3FV295,B0CZNLJS6C,B0F66YN221,B0CHFF37PN,B0DP9VPHP2,B0FLKDGC76,B0DZHCQBDW,B0DYV8PFG3,B0D4YSSBPQ",-,"上月: -12.34%
4月前: -
12月前: -",1
go vision|US|H88,658,$3.46,B0DH3FV295、B0DJT3YJQG、B0DDSH1W1N,Meoilkolnm、Losfom、Sixmou,20080.0,,"上月: -
4月前: -
12月前: -",,US,"TOP1: 37.37%
TOP2: 22.68%
TOP3: 14.95%
合计: 75.00%",1651,go vision,"上月: -
4月前: -
12月前: -",883542,"TOP1: 46.15%
TOP2: 15.38%
TOP3: 0.00%
合计: 61.53%",H88,"B0DCJ29SPD,B0DH3FV295,B0F66YN221,B0D7HQFKPB,B0DG2DYQD8,B0DDSH1W1N,B0DT6JKZS5,B0FKN2KLT4,B0DJT3YJQG,B0F2N1VYJB",$2.60 - $4.33,"上月: -
4月前: -
12月前: -",1
wearable video camera|US|H88,792,$0.74,B0F2N1VYJB、B0DH3FV295、B0DDSH1W1N,AviaryEye、Meoilkolnm、Losfom,22311.0,,"上月: -19,074
4月前: -177,164
12月前: +1,178,383",可穿戴式摄像机,US,"TOP1: 18.78%
TOP2: 7.11%
TOP3: 4.82%
合计: 30.71%",1637,wearable video camera,"上月: 852,212
4月前: 694,122
12月前: 2,049,669",871286,"TOP1: 29.17%
TOP2: 4.17%
TOP3: 0.00%
合计: 33.34%",H88,"B0F2N1VYJB,B0F66YN221,B0FRG42R7B,B0FPWVKWFW,B0FR4TKGXB,B0DH3FV295,B0FJ29Z4LP,B0DDSH1W1N,B0FLKDGC76,B01HGM33HG",$0.55 - $0.93,"上月: -2.24%
4月前: -25.52%
12月前: +57.49%",2
personal safety body camera|US|H88,728,$0.98,B0F2N1VYJB、B0DH3FV295、B0F66YN221,AviaryEye、Meoilkolnm、Losfom,18850.0,,"上月: +290,119
4月前: -
12月前: -",,US,"TOP1: 21.45%
TOP2: 15.55%
TOP3: 7.51%
合计: 44.51%",1627,personal safety body camera,"上月: 1,210,084
4月前: -
12月前: -",919965,"TOP1: 22.22%
TOP2: 18.52%
TOP3: 3.70%
合计: 44.44%",H88,"B0F2N1VYJB,B0DH3FV295,B0FQWS941G,B0F66YN221,B0CZNLJS6C,B0FLKDGC76,B0DP9VPHP2,B08KY7KLPB,B0FRSHTZY8,B0DDSH1W1N",$0.74 - $1.23,"上月: +23.98%
4月前: -
12月前: -",1
clip camera|US|H88,762,$0.69,B0DDSH1W1N、B0F2N1VYJB、B0DH3FV295,Sixmou、Meoilkolnm、AviaryEye,17858.0,,"上月: +392,898
4月前: +308,902
12月前: -",剪辑相机,US,"TOP1: 19.95%
TOP2: 12.57%
TOP3: 11.20%
合计: 43.72%",1608,clip camera,"上月: 1,329,286
4月前: 1,245,290
12月前: -",936388,"TOP1: 4.35%
TOP2: 17.39%
TOP3: 17.39%
合计: 39.13%",H88,"B0DDSH1W1N,B0FJ29T1W8,B0DH3FV295,B0F2N1VYJB,B0DDSN7WC4,B0FRG42R7B,B0CZNLJS6C,B0DZHCQBDW,B0F7LGXYC2,B0F66YN221",$0.52 - $0.86,"上月: +29.56%
4月前: +24.81%
12月前: -",1
clip on camera for shirt|US|H88,717,$0.45,B0F2N1VYJB、B0DH3FV295、B0DJT3YJQG,Meoilkolnm、AviaryEye、Losfom,21512.0,1.0,"上月: +142,182
4月前: +320,511
12月前: -",,US,"TOP1: 16.67%
TOP2: 16.41%
TOP3: 12.56%
合计: 45.64%",1575,clip on camera for shirt,"上月: 1,020,783
4月前: 1,199,112
12月前: -",878601,"TOP1: 13.79%
TOP2: 20.69%
TOP3: 0.00%
合计: 34.48%",H88,"B0DH3FV295,B0F2N1VYJB,B0FJ29T1W8,B0F66YN221,B0DDSH1W1N,B0FKN2KLT4,B0CZNLJS6C,B0F5QG2KJS,B0FSSS56PL,B0FLKDGC76",$0.34 - $0.56,"上月: +13.93%
4月前: +26.73%
12月前: -",1
magnetic camera for shirt|US|H88,632,$0.46,B0DH3FV295、B0DJT3YJQG、B0DDSN7WC4,Meoilkolnm、Losfom,17525.0,,"上月: +652,769
4月前: -56,074
12月前: -",,US,"TOP1: 22.99%
TOP2: 18.28%
TOP3: 8.59%
合计: 49.86%",1536,magnetic camera for shirt,"上月: 1,603,167
4月前: 894,324
12月前: -",950398,"TOP1: 26.67%
TOP2: 13.33%
TOP3: 6.67%
合计: 46.67%",H88,"B0DH3FV295,B0DDSN7WC4,B0FP2HSB28,B0DJT3YJQG,B0FQHYHNNC,B0F66YN221,B0F5QG2KJS,B0DT6JKZS5,B0F2N1VYJB,B0DBVG2W2P",$0.39 - $0.61,"上月: +40.72%
4月前: -6.27%
12月前: -",1
baseball pov camera|US|H88,581,$0.72,B0DDSH1W1N、B0DH3FV295、B0FQNZYG5H,Sixmou、Meoilkolnm、Vauvinmaic,20626.0,,"上月: +1,300,750
4月前: -
12月前: -",,US,"TOP1: 24.04%
TOP2: 21.86%
TOP3: 12.30%
合计: 58.20%",1491,baseball pov camera,"上月: 2,236,792
4月前: -
12月前: -",936042,"TOP1: 20.00%
TOP2: 30.00%
TOP3: 0.00%
合计: 50.00%",H88,"B0DH3FV295,B0DDSH1W1N,B0FKN2KLT4,B0F66YN221,B0DDSN7WC4,B0FQNZYG5H,B0G3PPRJXF,B0DT6JKZS5,B0G3DW3FHZ,B0DZHF9F1J",$0.62 - $0.80,"上月: +58.15%
4月前: -
12月前: -",1
